;budget_year;lfd_nr;fin_ve;bedarfsplan_number;name;starting_year;cost_estimate_original;cost_estimate_last_year;cost_estimate_actual;cost_estimate_actual_third_parties;cost_estimate_actual_equity;cost_estimate_actual_891_01;cost_estimate_actual_891_02;cost_estimate_actual_891_03;cost_estimate_actual_891_04;cost_estimate_actual_891_91;delta_previous_year;delta_previous_year_relativ;delta_previous_year_reasons;spent_two_years_previous;spent_two_years_previous_third_parties;spent_two_years_previous_equity;spent_two_years_previous_891_01;spent_two_years_previous_891_02;spent_two_years_previous_891_03;spent_two_years_previous_891_04;spent_two_years_previous_891_91;allowed_previous_year;allowed_previous_year_third_parties;allowed_previous_year_equity;allowed_previous_year_891_01;allowed_previous_year_891_02;allowed_previous_year_891_03;allowed_previous_year_891_04;allowed_previous_year_891_91;spending_residues;spending_residues_891_01;spending_residues_891_02;spending_residues_891_03;spending_residues_891_04;spending_residues_891_91;year_planned;year_planned_third_parties;year_planned_equity;year_planned_891_01;year_planned_891_02;year_planned_891_03;year_planned_891_04;year_planned_891_91;next_years;next_years_third_parties;next_years_equity;next_years_891_01;next_years_891_02;next_years_891_03;next_years_891_04;next_years_891_91
61;2023;B0044;607;L 37;"Umschlagbahnhof Hamburg‐Billwerder,
3. Modul
";2009;15931;38500;38044;-;ERGÄNZEN;20.679;-;-;-;-;-456;-0.011844155844155844;;32964;-;-;15.599;-;-;-;-;957;-;-;957;-;-;-;-;2411;2.411;-;-;-;-;1070;-;-;1.070;-;-;-;-;642;-;-;642;-;-;-;-
62;2023;B0078;612;N 27;"Umschlagbahnhof Karlsruhe
";2019;10748;11241;11716;-;581;11.716;-;-;-;-;475;0.04225602704385731;;3588;-;189;3.588;-;-;-;-;3639;-;258;3.639;-;-;-;-;1260;1.260;-;-;-;-;104;-;4;104;-;-;-;-;3125;-;130;3.125;-;-;-;-
63;2023;B0087;‐;N 27;"Umschlagbahnhof Kornwestheim, 1.Baustufe
";2021;38184;38184;38184;-;1.608;38.184;-;-;-;-;0;0.0;;‐;-;‐;‐;-;-;-;-;1577;-;83;1.577;-;-;-;-;‐;‐;-;-;-;-;7012;-;292;7.012;-;-;-;-;29595;-;1.233;29.595;-;-;-;-
64;2023;B0045;214;L 37;"Umschlagbahnhof Lehrte (MegaHub)
";2012;87052;147811;147694;-;8.231;139.463;-;-;-;-;-117;-0.0007915513730371894;;139121;-;8.231;130.890;-;-;-;-;5226;-;‐;5.226;-;-;-;-;3247;3.247;-;-;-;-;100;-;‐;100;-;-;-;-;‐;-;‐;‐;-;-;-;-
65;2023;B0046;5046;L 09;"VDE 8.1, ABS Nürnberg ‐ Ebensfeld (Baiersdorf ‐ Forchheim)
";2015;228365;224678;224005;-;5.152;224.005;-;-;-;-;-673;-0.002995397858268277;;186917;-;3.383;186.917;-;-;-;-;10332;-;1.078;10.332;-;-;-;-;10156;10.156;-;-;-;-;8500;-;354;8.500;-;-;-;-;8100;-;337;8.100;-;-;-;-
66;2023;B0069;5048;N 08;"VDE 8.1, ABS Nürnberg ‐ Ebensfeld (Eggolsheim ‐ Strullendorf)
";2017;241484;257110;266460;-;12.148;266.460;-;-;-;-;9350;0.03636575784683598;;31779;-;1.673;31.779;-;-;-;-;49626;-;3.341;49.626;-;-;-;-;13857;13.857;-;-;-;-;27201;-;1.133;27.201;-;-;-;-;143997;-;6.001;143.997;-;-;-;-
67;2023;B0047;5021;L 09;"VDE 8.1, ABS Nürnberg ‐ Ebensfeld (Eltersdorf ‐ Erlangen,
ESTW Strullendorf+Eggolsheim)
";2012;123556;128377;129210;-;1.417;124.349;-;4.861;-;-;833;0.006488701247108127;;106899;-;359;102.038;-;4.861;-;-;4186;-;611;4.186;-;‐;-;-;7425;7.425;-;‐;-;-;6000;-;250;6.000;-;‐;-;-;4700;-;197;4.700;-;‐;-;-
68;2023;B0048;5045;L 09;"VDE 8.1, ABS Nürnberg ‐ Ebensfeld (Erlangen ‐ Baiersdorf)
";2014;203550;176325;176608;-;1.525;176.608;-;-;-;-;283;0.0016049907840635191;;159557;-;676;159.557;-;-;-;-;6769;-;668;6.769;-;-;-;-;5931;5.931;-;-;-;-;2500;-;104;2.500;-;-;-;-;1851;-;77;1.851;-;-;-;-
69;2023;B0066;5047;N 08;"VDE 8.1, ABS Nürnberg ‐ Ebensfeld (Forchheim‐Eggolsheim)
";2016;209584;248121;251514;-;11.868;251.514;-;-;-;-;3393;0.013674779643802822;;102191;-;5.331;102.191;-;-;-;-;28721;-;1.512;28.721;-;-;-;-;‐;‐;-;-;-;-;29999;-;1.250;29.999;-;-;-;-;90603;-;3.775;90.603;-;-;-;-
70;2023;B0073;5055;P 04;"VDE 8.1, ABS Nürnberg – Ebensfeld (Güterzugstrecke Nürnberg Rangierbahnhof – Eltersdorf)
";2018;571693;609068;609465;-;25.913;609.465;-;-;-;-;397;0.0006518155608240787;;6970;-;367;6.970;-;-;-;-;26601;-;2.126;26.601;-;-;-;-;13795;13.795;-;-;-;-;64999;-;2.708;64.999;-;-;-;-;497100;-;20.712;497.100;-;-;-;-
71;2023;B0109;5055;N 08;VDE 8.1, ABS Nürnberg – Ebensfeld (Knoten Bamberg);vsl.2022;571693;609068;801259;-;ERGÄNZEN;801.259;-;-;-;-;192191;0.31554933110917005;;‐;-;-;‐;-;-;-;-;‐;-;-;‐;-;-;-;-;‐;‐;-;-;-;-;3029;-;-;3.029;-;-;-;-;798230;-;-;798.230;-;-;-;-
72;2023;B0049;5007;L 09;"VDE 8.1, ABS Nürnberg ‐ Ebensfeld (Nürnberg ‐ Fürth)
";2005;138000;221344;220812;-;1.082;218.515;-;2.297;-;-;-532;-0.0024034986265722134;;210878;-;584;208.581;-;2.297;-;-;2629;-;402;2.629;-;‐;-;-;5005;5.005;-;‐;-;-;1700;-;71;1.700;-;‐;-;-;600;-;25;600;-;‐;-;-
73;2023;B0074;5200;N 08;"VDE 8.1, ABS Nürnberg – Ebensfeld,
ESTW Bamberg
";2018;61629;64111;64426;-;2.824;64.426;-;-;-;-;315;0.004913353402692206;;4540;-;239;4.540;-;-;-;-;‐;-;‐;2.885;-;-;-;-;11071;11.071;-;-;-;-;9000;-;375;9.000;-;-;-;-;42700;-;1.779;42.700;-;-;-;-
74;2023;B0050;40;L 09;VDE 8.1, NBS Ebensfeld ‐ Erfurt;1994;2002950;3569290;3570839;-;143.944;2.936.053;-;27.243;239.301;94.059;1549;0.0004339798671444461;;3466230;-;143.944;2.831.444;-;27.243;239.301;94.059;47157;-;‐;47.157;-;‐;‐;‐;5306;5.306;-;‐;ERGÄNZEN;ERGÄNZEN;23316;-;‐;23.316;-;‐;‐;‐;28830;-;‐;28.830;-;‐;‐;‐
75;2023;B0051;380;L 10;"VDE 8.2, NBS Erfurt ‐ Gröbers (‐ Leipzig/ Halle)
";2003;1858828;2361127;2368948;-;6.441;2.148.872;-;42.429;93.866;83.781;7821;0.003312401238899898;;2269767;-;3.875;2.049.691;-;42.429;93.866;83.781;49401;-;2.000;49.401;-;‐;‐;‐;28055;28.055;-;‐;ERGÄNZEN;ERGÄNZEN;9180;-;204;9.180;-;‐;‐;‐;12545;-;362;12.545;-;‐;‐;‐
76;2023;B0053;4001;L 11;"VDE 9, ABS Leipzig ‐ Dresden,
3. Baustufe
";2003;340998;340809;339707;-;ERGÄNZEN;271.433;-;-;49.999;18.275;-1102;-0.0032334826838493116;;321055;-;-;252.781;-;-;49.999;18.275;9725;-;-;9.725;-;-;‐;‐;5824;5.824;-;-;ERGÄNZEN;ERGÄNZEN;2140;-;-;2.140;-;-;‐;‐;963;-;-;963;-;-;‐;‐
77;2023;B0088;386;L 11;"VDE 9, ABS Leipzig – Dresden,
3. Baustufe (Krbw. Dresden Hbf)
";2021;80171;80171;85393;-;3.638;85.393;-;-;-;-;5222;0.0651357722867371;;‐;-;‐;‐;-;-;-;-;7342;-;386;7.342;-;-;-;-;‐;‐;-;-;-;-;19275;-;803;19.275;-;-;-;-;58776;-;2.449;58.776;-;-;-;-
78;2023;B0079;385;L 11;"VDE 9, ABS Leipzig – Dresden,
3. Baustufe (Zeithain – Leckwitz)
";2019;103670;159128;161672;-;7.393;161.672;-;-;-;-;2544;0.0159871298577246;;36849;-;1.926;36.849;-;-;-;-;21483;-;1.274;21.483;-;-;-;-;2718;2.718;-;-;-;-;22800;-;950;22.800;-;-;-;-;77822;-;3.243;77.822;-;-;-;-
