Streckennummer:;Anfangkm:;Endekm:;Streckenname:
1700;0;176.390;Hannover Hbf - Hamm (Westf)
1701;1.395;9.133;Hannover Hbf. W 690 --(Han Hgbf)-- - Seelze Rbf. G-Bahn
1702;2.677;5.478;Hannover Hgbf. Stw Hgwf. Gl 94 - H-Leinhsn Werkst.Bf.Gl 18.W414.G-Bahn
1703;4.399;8.767;Han-Leinhausen. Werkstättenbf. W 5 - Han Nordhaf.VW-Werk (Glan).G-Bahn
1704;0;1.008;Ahlem. W 5 - Abzw Kurve (Han-Leinhausen). W 3. G-Bahn
1705;660;11.670;Hannover Hbf. W 669 - Seelze Pbf. W 46
1710;0;40.816;Hannover Hbf - Celle. W 107
1711;10.539;150.534;Langenhagen (Han). W7 --Visselhövede-- - Bremervörde
1712;61.789;133.271;Walsrode. W 3 - Buchholz (Nordheide). W 258
1720;16.126;273.040;Lehrte - Cuxhaven
1721;-178;75.440;Celle. W 205 - Wahnebergen. W 222. G-Bahn
1722;1.000;57.129;Celle. Gl 17 - Braunschweig-Gliesmarode. W 1. G-Bahn
1723;0;16.128;Plockhorst - Peine. W 202. G-Bahn
1724;134;43.730;Gifhorn Stadt. W 21 - Celle
1725;-27;3.429;Braunschweig-Rühme. W 2 - Brg Hafen (Glan). H-Bahn
1730;0;60.986;Hannover Hbf - Braunschweig Hbf
1731;5.552;7.819;(Han Hbf) Abzw Tiergarten. W 603 - Misburg. W 5
1732;3.660;166.234;(Han Hbf) Abzw Bismarckstr. W 204 - Kassel Hbf
1733;0;327.361;Hannover --Kassel-- - Würzburg
1734;0;13.000;Hannover Hbf - Lehrte
1740;20.767;194.150;Wunstorf. W 18 - BD-Grenze. (Bremerhvn-Seehafen)
1741;-620;50.616;Nienburg (Weser). W 84 - Minden (Westf). W 9
1742;-583;27.998;Leese-Stolzenau. W 23 - Stadthagen. W 5 G-Bahn
1743;-583;59.430;Nienburg (Weser). W 32 - Rahden (Kr Lübbecke) W 2. G-Bahn
1744;11;62.700;(Nienburg (Weser)) Abzw Lohe. W 200 - Diepholz. W 11 G-Bahn
1745;-280;25.201;Verden (Aller). W 5 - Rotenburg (Wümme). W 3
1750;-574;43.307;Wunstorf. W 105 --Han-Linden-- - Lehrte. Stw Lnf. W 257. G-Bahn
1751;-751;4.040;Wunstorf. W 130 - Abzw Gümmerwald. W 201. G-Bahn
1752;19.795;20.907;Hannover-Linden Hafen. W 541 - Abzw Empelde. W 603. G-Bahn
1753;26.645;29.965;Abzw Waldhausen. W 802 - Hannover-Wülfel. W 105. G-Bahn
1754;-560;2.854;Hannover-Wülfel. W 96 - Abzw Waldheim. W 821. G-Bahn
1755;-586;1.200;Hannover-Wülfel. W 41 - Hannover Messebahnhof (Glan)
1756;3.800;5.100;Abzw Hannover Bismarkstraße. W722 - Hannover-Wülfel. W7
1760;0;180.835;Hannover Hbf - Soest
1761;-413;26.459;Weetzen. W 3 - Haste (Han). W 3
1762;-812;23.254;Bad Münder (Deister). W 55 - Bad Nenndorf. W 26. G-Bahn
1770;14.109;52.639;Lehrte. W 805 - Nordstemmen. W 58
1771;22.343;26.525;Barnten. W 3 - Abzw Rössing. W 103
1772;40.507;74.898;Hildesheim Hbf. KWM 119 - Groß Gleidingen. KWM 9
1773;40.226;94.187;Hildesheim Hbf. W 106 - Goslar. W 3
1774;0;3.538;Abzw Sorsum. W 151 - Abzw Himmelsthür. W 323
1800;0;2.309;Göttingen - Abzw Grone. W 401. G-Bahn
1801;3.270;36.780;Göttingen. W 2 - Bodenfelde. W 3
1802;-617;10.057;Uslar. W 23 - Schönhagen (Han). G-Bahn
1803;913;2.505;Göttingen. W 327 - Abzw Siekweg. W 412. G-Bahn
1810;88.534;157.112;Northeim (Han) - NL-Grenze km 117.070 - Nordhausen. W 357
1811;-689;40.113;Wulften. W 19 - Leinefelde. W 1
